

Date,Type,Size kB,Test Size Converted,Score Kbps,Score Mbps,Score kB/s,Score MB/s,Username,Computer ID,ISP / Host,Extra Identifier,Test ID
08/27/2015 7:27:45 am,DN,44160,43.1 MB,46462,45.37,5808,5.67,DASKAjA,771931041826,deutsche_telekom_ag,65------de,EP9h5KX8
08/27/2015 7:12:44 am,DN,45184,44.1 MB,46050,44.97,5756,5.62,DASKAjA,771931041826,deutsche_telekom_ag,65------de,HoA1BzyW
08/27/2015 6:57:43 am,DN,43648,42.6 MB,46466,45.38,5808,5.67,DASKAjA,771931041826,deutsche_telekom_ag,65------de,ScCleWG2
08/27/2015 6:42:42 am,DN,45184,44.1 MB,45563,44.5,5695,5.56,DASKAjA,771931041826,deutsche_telekom_ag,65------de,anosmi2Y
08/27/2015 6:27:41 am,DN,27776,27.1 MB,41037,40.08,5130,5.01,DASKAjA,771931041826,deutsche_telekom_ag,65------de,Ao4HlP9s
08/27/2015 6:12:26 am,DN,43904,42.9 MB,46461,45.37,5808,5.67,DASKAjA,771931041826,deutsche_telekom_ag,65------de,x70yMLwS
08/27/2015 5:57:25 am,DN,43648,42.6 MB,45765,44.69,5721,5.59,DASKAjA,771931041826,deutsche_telekom_ag,65------de,gt4i2odr
08/27/2015 5:42:24 am,DN,44416,43.4 MB,46369,45.28,5796,5.66,DASKAjA,771931041826,deutsche_telekom_ag,65------de,oj358hJq
08/27/2015 5:27:23 am,DN,43264,42.3 MB,45885,44.81,5736,5.6,DASKAjA,771931041826,deutsche_telekom_ag,65------de,nsbwiZyd
08/27/2015 5:12:23 am,DN,44928,43.9 MB,46076,45,5760,5.62,DASKAjA,771931041826,deutsche_telekom_ag,65------de,D3yNms9O
08/27/2015 4:57:22 am,DN,43776,42.8 MB,45864,44.79,5733,5.6,DASKAjA,771931041826,deutsche_telekom_ag,65------de,diB2VTwJ
08/27/2015 4:42:20 am,DN,45824,44.8 MB,46443,45.35,5805,5.67,DASKAjA,771931041826,deutsche_telekom_ag,65------de,4U0eGK1B
08/27/2015 4:27:20 am,DN,46592,45.5 MB,46384,45.3,5798,5.66,DASKAjA,771931041826,deutsche_telekom_ag,65------de,iYX9OAqD
08/27/2015 4:12:15 am,DN,43776,42.8 MB,46446,45.36,5806,5.67,DASKAjA,771931041826,deutsche_telekom_ag,65------de,8mXb3YEW
